Fuel Type,r2,MSE
Diesel,0.9889237832079193,0.0005435739861084924
Ethanol (E85),0.9810064302625421,0.0006313868003178342
Natural Gas,0.9350012483640338,0.006829983075290251
Prm. Gasoline,0.9872041131043058,0.00018802827813265273
Reg. Gasoline,0.9856840350765743,0.00035445993659532577
