Model Year,Make,Model,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,Fuel Consumption Comb (mpg),CO2 Emissions
1996,GMC,C2500 SIERRA TURBODIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,17.1,13.6,15.5,18.0,419
1996,GMC,K1500 SIERRA 4X4 TURBODIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,17.6,13.6,15.8,18.0,427
1996,MERCEDES-BENZ,E 300 DIESEL,COMPACT,3.0,6.0,A4,Diesel,9.8,7.3,8.7,32.0,235
1996,VOLKSWAGEN,EUROVAN DIESEL,MINIVAN,2.4,5.0,M5,Diesel,10.2,9.6,9.9,29.0,267
1996,VOLKSWAGEN,GOLF GL DIESEL,COMPACT,1.9,4.0,M5,Diesel,8.4,6.6,7.6,37.0,205
1996,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,10.8,8.2,9.6,29.0,259
1996,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,14.4,10.4,12.6,22.0,340
1996,VOLKSWAGEN,JETTA GL DIESEL,COMPACT,1.9,4.0,M5,Diesel,8.4,6.6,7.6,37.0,205
1996,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,14.4,10.8,12.8,22.0,346
1996,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,10.8,8.4,9.7,29.0,262
1996,VOLKSWAGEN,PASSAT TDI DIESEL,MID-SIZE,1.9,4.0,A4,Diesel,14.4,9.3,12.1,23.0,327
1996,VOLKSWAGEN,PASSAT TDI DIESEL,MID-SIZE,1.9,4.0,M5,Diesel,15.1,10.8,13.1,22.0,354
1996,VOLKSWAGEN,PASSAT TDI DIESEL WAGON,STATION WAGON - MID-SIZE,1.9,4.0,A4,Diesel,14.4,9.6,12.2,23.0,329
1996,VOLKSWAGEN,PASSAT TDI DIESEL WAGON,STATION WAGON - MID-SIZE,1.9,4.0,M5,Diesel,13.8,9.3,11.8,24.0,319
1996,VOLKSWAGEN,TRANSPORTER PANEL VAN DIESEL,VAN - CARGO,2.4,5.0,M5,Diesel,10.2,9.6,9.9,29.0,267
1997,CHEVROLET,C2500 TURBO DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,17.4,14.1,15.9,18.0,429
1997,CHEVROLET,K1500 4X4 TURBO DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,17.9,14.1,16.2,17.0,437
1997,CHEVROLET,K1500 TAHOE 4X4 TURBO DIESEL,SUV,6.5,8.0,A4,Diesel,17.9,14.1,16.2,17.0,437
1997,GMC,C2500 SIERRA TURBO DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,17.7,14.2,16.1,18.0,435
1997,GMC,K1500 SIERRA 4X4 TURBODIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,17.9,14.1,16.2,17.0,437
1997,GMC,K1500 YUKON 4X4 TURBO DIESEL,SUV,6.5,8.0,A4,Diesel,17.9,14.1,16.2,17.0,437
1997,MERCEDES-BENZ,E 300 DIESEL,MID-SIZE,3.0,6.0,A5,Diesel,10.3,7.8,9.2,31.0,248
1997,VOLKSWAGEN,GOLF DIESEL,COMPACT,1.9,4.0,M5,Diesel,8.4,6.6,7.6,37.0,205
1997,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,7.0,5.4,6.3,45.0,170
1997,VOLKSWAGEN,JETTA DIESEL,COMPACT,1.9,4.0,M5,Diesel,8.4,6.6,7.6,37.0,205
1997,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,7.0,5.4,6.3,45.0,170
1997,VOLKSWAGEN,PASSAT TDI DIESEL,MID-SIZE,1.9,4.0,M5,Diesel,7.4,5.6,6.6,43.0,178
1997,VOLKSWAGEN,PASSAT WAGON TDI DIESEL,STATION WAGON - MID-SIZE,1.9,4.0,M5,Diesel,7.4,5.6,6.6,43.0,178
1997,VOLKSWAGEN,TRANSPORTER PANEL DIESEL,VAN - CARGO,2.4,5.0,M5,Diesel,10.2,9.6,9.9,29.0,267
1998,CHEVROLET,C2500 TURBO DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,17.7,14.2,16.1,18.0,435
1998,CHEVROLET,K1500 4X4 TURBO DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,18.0,13.4,15.9,18.0,429
1998,CHEVROLET,K1500 TAHOE 4X4 TURBO DIESEL,SUV,6.5,8.0,A4,Diesel,18.0,13.4,15.9,18.0,429
1998,GMC,C2500 SIERRA TURBO DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,17.7,14.2,16.1,18.0,435
1998,GMC,K1500 SIERRA 4X4 TURBO DIESEL,PICKUP TRUCK - STANDARD,6.5,8.0,A4,Diesel,18.0,13.4,15.9,18.0,429
1998,GMC,K1500 YUKON 4X4 TURBO DIESEL,SUV,6.5,8.0,A4,Diesel,18.0,13.4,15.9,18.0,429
1998,MERCEDES-BENZ,E 300 TURBODIESEL,MID-SIZE,3.0,6.0,A5,Diesel,10.2,7.5,9.0,31.0,243
1998,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,7.0,5.4,6.3,45.0,170
1998,VOLKSWAGEN,PASSAT TDI DIESEL,MID-SIZE,1.9,4.0,A4,Diesel,8.7,6.0,7.5,38.0,203
1998,VOLKSWAGEN,PASSAT TDI DIESEL,MID-SIZE,1.9,4.0,M5,Diesel,7.2,5.2,6.3,45.0,170
1998,VOLKSWAGEN,PASSAT WAGON TDI DIESEL,STATION WAGON - MID-SIZE,1.9,4.0,A4,Diesel,8.7,6.0,7.5,38.0,203
1998,VOLKSWAGEN,PASSAT WAGON TDI DIESEL,STATION WAGON - MID-SIZE,1.9,4.0,M5,Diesel,7.2,5.2,6.3,45.0,170
